Data,Investimento,PedidosQtd,Consumidores,PedidosVal,GMV,CupomQtd,CupomVal,FreteGratisQtd,CupomFreteGratisPerc
20230101,"36.903,09",217.872,191.677,"13.566.222,96","13.706.224,42",11.472,"140.001,46",4.627,"40,3"
20230102,"12.583,45",69.176,62.379,"3.821.151,40","3.904.646,76",6.041,"83.495,36",1.971,"32,6"
20230103,"7.923,53",71.798,65.916,"3.878.646,29","3.992.336,16",7.402,"113.689,87",2.127,"28,7"
20230104,"6.985,13",73.592,67.809,"4.009.262,31","4.116.189,32",7.315,"106.927,01",2.372,"32,4"
20230105,"16.037,87",77.157,71.455,"4.263.734,79","4.399.174,42",8.869,"135.439,63",2.412,"27,2"
20230106,"37.485,04",151.734,139.867,"8.786.676,41","8.984.647,12",14.986,"197.970,71",4.289,"28,6"
20230107,"29.285,18",255.288,224.982,"15.683.057,86","15.948.971,21",19.459,"265.913,35",4.942,"25,4"
20230108,"12.003,69",236.356,204.820,"13.476.653,56","13.666.929,26",14.968,"190.275,70",4.491,"30,0"
20230109,"5.653,14",52.326,48.218,"2.756.948,10","2.813.725,97",3.946,"56.777,87",952,"24,1"
20230110,"5.424,88",70.977,65.214,"3.853.968,52","3.942.111,23",6.233,"88.142,71",1.554,"24,9"
20230111,"5.446,03",81.714,75.314,"4.442.502,66","4.551.155,25",8.222,"108.652,59",1.643,"20,0"
20230112,"20.356,10",103.986,95.931,"5.761.632,88","5.952.556,75",14.634,"190.923,87",2.124,"14,5"
20230113,"60.385,93",189.033,173.351,"11.048.792,38","11.269.622,36",17.987,"220.829,98",5.229,"29,1"
20230114,"45.502,43",325.917,284.114,"20.127.112,60","20.452.612,83",24.913,"325.500,23",4.211,"16,9"
20230115,"17.302,72",307.411,265.920,"17.754.940,89","17.993.647,07",19.012,"238.706,18",3.644,"19,2"
20230116,"11.209,86",69.551,63.615,"3.681.200,61","3.749.640,48",5.034,"68.439,87",676,"13,4"
20230117,"9.660,30",81.468,75.208,"4.363.022,24","4.477.189,68",8.122,"114.167,44",1.424,"17,5"
20230118,"10.712,71",93.148,86.016,"5.092.299,02","5.297.372,14",12.430,"205.073,12",697,"5,6"
20230119,"40.273,76",113.419,104.315,"6.278.939,90","6.962.980,83",17.432,"684.040,93",2.783,"16,0"
20230120,"66.104,24",196.831,178.823,"11.673.603,82","11.941.329,46",19.137,"267.725,64",2.562,"13,4"
20230121,"76.923,94",297.691,262.104,"18.245.208,97","18.758.160,74",33.253,"512.951,77",3.895,"11,7"
20230122,"27.575,95",296.552,256.660,"16.840.753,85","17.308.268,80",30.161,"467.514,95",3.350,"11,1"
20230123,"20.067,76",56.197,51.260,"3.042.958,04","3.161.424,84",5.667,"118.466,80",1.221,"21,5"
20230124,"19.758,74",79.122,73.299,"4.412.698,12","4.587.663,56",10.084,"174.965,44",1.111,"11,0"
20230125,"20.764,92",109.409,100.289,"6.120.605,53","6.344.119,67",14.110,"223.514,14",749,"5,3"
20230126,"72.190,45",95.597,88.497,"5.238.113,48","5.475.801,02",15.128,"237.687,54",1.104,"7,3"
20230127,"110.045,11",189.737,173.959,"11.168.073,47","11.474.818,60",22.352,"306.745,13",6.965,"31,2"
20230128,"106.770,93",321.998,282.903,"19.734.980,88","20.233.807,96",38.261,"498.827,08",7.809,"20,4"
20230129,"53.872,31",277.396,242.128,"15.652.049,97","16.088.148,83",28.380,"436.098,86",2.226,"7,8"
20230130,"44.186,61",57.028,51.121,"3.016.682,18","3.191.277,06",6.370,"174.594,88",507,"8,0"
20230131,"31.819,50",82.428,74.692,"4.499.039,39","4.831.812,54",13.025,"332.777,04",529,"4,1"
20230201,"21.686,79",92.899,84.407,"5.241.246,62","5.546.179,63",11.110,"304.933,01",1.502,"13,5"
20230202,"33.189,20",104.251,94.495,"6.127.911,38","6.426.944,70",12.244,"299.033,32",2.055,"16,8"
20230203,"33.663,48",199.458,182.443,"11.882.231,40","12.253.318,23",20.627,"371.086,83",4.876,"23,6"
20230204,"32.358,18",343.399,300.299,"20.926.220,90","21.437.862,55",31.954,"511.641,65",5.775,"18,1"
20230205,"17.337,15",295.388,256.809,"16.653.097,82","17.005.311,27",20.585,"352.213,45",3.473,"16,9"
20230206,"17.623,48",56.581,51.816,"2.923.268,22","3.031.164,33",3.578,"107.896,11",503,"14,1"
20230207,"15.157,65",83.359,76.657,"4.296.032,57","4.619.351,19",13.492,"323.318,62",1.241,"9,2"
20230208,"24.646,69",85.666,78.974,"4.380.818,25","4.671.376,35",13.153,"290.558,10",1.410,"10,7"
20230209,"40.518,60",99.608,90.867,"5.305.342,49","5.599.305,37",12.638,"293.962,88",1.983,"15,7"
20230210,"26.763,68",191.730,176.157,"10.947.749,43","11.357.234,38",21.781,"409.484,95",5.137,"23,6"
20230211,"44.010,37",311.847,273.962,"18.648.005,80","19.271.724,20",35.534,"623.718,40",9.114,"25,6"
20230212,"24.233,82",276.832,240.512,"15.354.555,64","15.782.086,56",23.350,"427.530,92",5.420,"23,2"
20230213,"18.989,23",58.470,54.010,"3.029.396,66","3.128.372,03",4.516,"98.975,37",288,"6,4"
20230214,"36.515,00",76.685,71.079,"4.073.043,85","4.221.737,07",10.078,"148.693,22",740,"7,3"
20230215,"76.301,15",105.731,98.598,"5.573.737,31","6.012.755,28",22.166,"439.017,97",465,"2,1"
20230216,"56.036,82",126.831,117.566,"7.127.352,55","7.410.530,38",17.334,"283.177,83",937,"5,4"
20230217,"255.157,75",228.039,209.580,"13.873.238,56","14.289.859,42",31.670,"416.620,86",7.888,"24,9"
20230218,"185.684,77",312.756,276.294,"19.386.828,98","19.979.913,95",45.981,"593.084,97",13.850,"30,1"
20230219,"177.930,96",301.216,261.780,"18.219.787,39","18.686.143,87",37.714,"466.356,48",11.615,"30,8"
20230220,"129.122,38",230.341,204.553,"14.033.822,42","14.321.643,79",21.452,"287.821,37",5.510,"25,7"
20230221,"24.221,85",241.983,214.755,"13.840.717,14","14.149.520,49",21.638,"308.873,19",1.017,"4,7"
20230222,"40.655,10",104.421,94.626,"5.688.707,71","5.822.535,63",9.422,"133.827,92",1.968,"20,9"
20230223,"60.905,00",85.723,80.326,"4.458.463,24","5.104.729,28",22.867,"646.266,04",283,"1,2"
20230224,"54.303,20",184.615,171.041,"10.042.631,25","10.677.757,64",36.156,"635.126,39",7.173,"19,8"
20230225,"46.433,68",325.942,287.132,"19.023.945,52","19.619.198,81",46.836,"595.253,29",18.775,"40,1"
20230226,"40.034,82",296.015,258.067,"16.093.483,82","16.548.140,15",29.178,"454.656,33",2.945,"10,1"
20230227,"34.189,05",52.137,47.984,"2.763.387,17","2.848.645,85",4.775,"85.258,68",317,"6,6"
20230228,"31.684,65",77.042,71.550,"4.432.118,04","4.623.096,82",11.153,"190.978,78",664,"6,0"
20230301,"34.221,53",81.431,75.530,"4.923.161,62","5.032.730,48",7.911,"109.568,86",2.794,"35,3"
20230302,"40.060,86",94.641,87.279,"5.787.098,36","5.933.622,98",11.025,"146.550,99",4.835,"43,9"
20230303,"34.213,44",194.950,179.399,"11.981.245,65","12.221.811,54",15.780,"240.565,89",1.537,"9,7"
20230304,"24.214,87",342.676,299.722,"21.531.686,23","21.969.154,23",36.976,"437.523,81",11.125,"30,1"
20230305,"18.832,66",309.594,269.522,"18.236.304,17","18.582.038,31",31.730,"345.734,14",11.378,"35,9"
20230306,"18.776,96",60.357,55.212,"3.942.589,69","4.020.590,84",6.421,"78.001,15",2.102,"32,7"
20230307,"21.144,23",71.429,65.822,"4.568.382,08","4.681.443,25",9.196,"113.106,98",2.743,"29,8"
20230308,"50.571,39",101.461,94.462,"6.016.347,70","6.184.192,29",12.825,"167.844,59",2.968,"23,1"
20230309,"58.932,67",92.871,85.652,"5.760.603,79","5.919.637,07",10.592,"159.033,28",1.746,"16,5"
20230310,"71.475,71",189.977,174.999,"11.614.562,72","11.904.036,29",21.656,"289.473,57",2.771,"12,8"
20230311,"15.224,95",310.719,274.710,"19.496.594,69","19.931.150,36",32.836,"434.555,67",2.654,"8,1"
20230312,"0,00",270.806,236.306,"15.924.247,65","16.210.197,75",21.842,"285.950,10",2.257,"10,3"